"UK-AIR ID","EU Site ID","EMEP Site ID","Site Name","Environment Type","Zone","Start Date","End Date","Latitude","Longitude","Northing","Easting","Altitude (m)","Networks","AURN Pollutants Measured","Site Description"
"UKA00612","GB1054A","","Doncaster A630 Cleveland Street","Traffic Urban","Yorkshire & Humberside","2015-05-07","","53.518240","-1.138057","402746.57","457248.75","15","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside the dual carriageway A630 through Doncaster. Close to blocks of flats."
"UKA00555","GB1008A","","Dumbarton Roadside","Traffic Urban","Central Scotland","2010-09-01","","55.943197","-4.559730","675198.79","240234.67","3","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located on Glasgow Road near the junction of Leven Street.  . The surrounding area is open with mixed commercial/light industrial and residential areas."
"UKA00428","GB0740A","","Dumfries","Traffic Urban","Scottish Borders","2001-03-01","2008-03-27","55.070033","-3.614233","576254.03","297019.53","10","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located in the basement of the council offices, with the sample manifold on an outside mounting near to the main entrance. The sample inlet is 5 metres from Buccleuch Street (A780), a busy ring road round the centre of town 50 metres west of traffic lights. Buccleuch Street contains tall buildings on either side of road, generating a street canyon effect. The site is adjacent to a bus stop."
"UKA00643","GB1085A","","Dundee Mains Loan","Background Urban","North East Scotland","2017-10-01","","56.475434","-2.959861","731892.31","340970.55","84","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Urban background monitoring station by sports fields, near the Dundee International Sports Centre. Open surroundings, nearest major road 120 m from the monitoring site."
"UKA00591","GB1033A","","Ealing Horn Lane","Traffic Urban","Greater London Urban Area","2014-05-21","2019-01-29","51.518950","-0.265617","181428.88","520434.38","30","Automatic Urban and Rural Network (AURN)","PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of Noel Road Horn Lane, 1 km west of Wormwood Scrubs Park. The surrounding area comprises residential houses, and shops, in an urban environment. Acton Main Line railway station lies approx. 200 meters to the southwest and the major trunk road A40, 210 meters to the east."
"UKA00546","GB1005A","","Eastbourne","Background Urban","South East","2009-07-01","2019-01-14","50.805778","0.271611","103150.43","560155.21","7","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located behind the Willingdon Trees Community Centre at the junction of Holly Place and Maywood Avenue. The surrounding area comprises of low level housing and open parkland. The monitoring station is approximately 700 metres from the A22 and 4 kilometres from the coast."
"UKA00649","GB1091A","","Edinburgh Nicolson Street","Traffic Urban","Edinburgh Urban Area","2017-12-01","","55.944760","-3.183991","673046.00","326150.00","85","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The site is 27.5m from the junction with West Nicolson Street, measured to the traffic light stop point."
"UKA00454","GB0839A","","Edinburgh St Leonards","Background Urban","Edinburgh Urban Area","2003-01-01","2019-07-26","55.945589","-3.182186","673136.49","326264.30","81","Automatic Urban and Rural Network (AURN); PAH Digitel (solid phase)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Carbon monoxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained air conditioned housing located within a small park area. The park is adjacent to a medical centre car park which is located in the south side of Edinburgh. The nearest main road, Pleasance is approximately 35 metres away. It is a busy main road running into the city centre and out to the A7 South of Edinburgh."
"UKA00130","GB0002R","GB0002R","Eskdalemuir","Background Rural","Scottish Borders","1986-04-23","","55.315310","-3.206111","603021.74","323550.97","255","Acid Gas and Aerosol Network; Automatic Urban and Rural Network (AURN); Heavy Metals Network; National Ammonia Monitoring Network; UKEAP - Rural NO2 (NO2-Net); Weekly rainfall (LOW)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located in a self-contained, air-conditioned housing located in a rural setting. The nearest road, the B709, is 300 metres to the east of the monitoring station with very low traffic flow. Trees provide the nearest obstruction approximately 150 metres away to the south. The surrounding area is open and rural."
"UKA00263","GB0640A","","Exeter Roadside","Traffic Urban","South West","1996-07-02","2007-09-30","50.725083","-3.532465","92838.20","291929.04","43","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within the basement of the existing museum building located at the kerbside near of a busy urban street, Queen Street. Queen Street is a single-carriageway road with high buildings on either side. The surrounding area is urban in nature and comprises of retail and business premises."
"UKA00495","GB0885A","","Fort William","Background Suburban","Highland","2006-06-22","","56.822660","-5.101102","774418.72","210849.73","5","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained unit within the grounds of a sports facility in a residential area. The nearest road is an access road to the sports facilities and hospital and is located approximately 50 metres to the south of the station. The surrounding area is open with residential housing and a body of water to the north of the station.   "
"UKA00593","GB1035A","","Glasgow Great Western Road","Traffic Urban","Glasgow Urban Area","2014-06-05","","55.872038","-4.270936","666651.00","258007.00","","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of Great Western Road, approx. 150 m distant (to the Northwest) of St George's cross underground metro station. The surrounding area comprises residential houses and business and retail outlets, in an urban environment. The M8 motorway is located approx. 360 m to the South"
"UKA00602","GB1044A","","Glasgow High Street","Traffic Urban","Glasgow Urban Area","2015-01-27","2018-11-02","55.860936","-4.238214","665348.95","260014.08","35","Automatic Urban and Rural Network (AURN); UK Black Carbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of High Street, in Glasgow's city centre. The surrounding area comprises residential houses and business and retail outlets, in an urban environment. High street railway station lies approximately 200 meters to the southwest."
"UKA00336","GB0657A","","Glasgow Kerbside","Traffic Urban","Glasgow Urban Area","1997-03-10","2014-12-31","55.859170","-4.258889","665194.51","258713.92","10","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located on the pavement of Hope Street adjacent to Glasgow Central Station. The nearest road is subject to frequent congestion during peak traffic flow periods. The surrounding area is built up."
"UKA00576","GB1028A","","Glasgow Townhead","Background Urban","Glasgow Urban Area","2013-10-07","2018-10-02","55.865782","-4.243631","665899.13","259692.60","40","Automatic Urban and Rural Network (AURN); PAH Digitel (solid phase); UK Black Carbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within an existing brick building located inside a residential area, which lies in the perimeter established by St Mungo's Avenue and Kennedy Street, in Glasgow's city centre. The surrounding area comprises residential houses, gardens and some businesses, in an urban environment. The M8 motorway is situated approximately 360 m to the North."
"UKA00170","GB0034R","GB0034R","Glazebury","Background Rural","North West & Merseyside","1988-04-01","","53.460080","-2.472056","396029.54","368754.53","21","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air conditioned housing located within the grounds of a local farm. The nearest road is access only to the grounds of the farm and is approximately 100 metres from the monitoring station. The nearest trees are at a distance of approximately 3 metres from the station."
"UKA00420","GB0735A","","Grangemouth","Industrial Urban","Central Scotland","2001-01-01","2018-06-06","56.010319","-3.704399","681020.65","293829.88","4","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station located within a self contained, air conditioned housing within a public park, next to a residential area. It has an open aspect to a BP petro-chemical complex 300m to the north. The nearest road is approximately 50 metres from the station, and is a residential access road. "
"UKA00544","GB0997A","","Grangemouth Moray","Industrial Urban","Central Scotland","2009-06-01","","56.013142","-3.710833","681344.72","293436.55","4","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained, air conditioned unit within the car park of Moray School, Grangemouth. The closest road is approximately 10 metres away and is a minor road. The surrounding area is generally open with residential dwellings. It has an open aspect to a BP petro-chemical complex 800 metres to the East. "
"UKA00621","GB1062A","","Greenock A8 Roadside","Traffic Urban","Central Scotland","2016-05-04","","55.944079","-4.734421","675714.74","229331.50","9","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside the A8 (East Hamilton Street)."
"UKA00596","GB1038A","","Hafod-yr-ynys Roadside","Traffic Urban","South Wales","2014-10-14","","51.680579","-3.133508","198588.00","321727.00","","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit along the road side of A472 -Hafod road, approximately 250 meters south of Swffryd's town centre. The surrounding area comprises some waste/agricultural lands (to the south), and some residential houses in the site's vicinity. Approximately 370 meters to the southwest, A472 crosses with the A467"
"UKA00260","GB0637A","","Haringey Roadside","Traffic Urban","Greater London Urban Area","1996-05-16","2016-02-09","51.599300","-0.068218","190707.13","533893.52","10","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained, air conditioned housing on the kerbside on Tottenham High Road. The surrounding area is urban in nature with residential dwellings. "
"UKA00645","GB1087A","","Hartlepool St Abbs Walk","Background Urban","North East","2017-10-17","","54.683242","-1.203838","532312.00","451429.00","7","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Urban background monitoring station on grass area in housing estate, in a residential area in the eastern part of Hartlepoolâ€. We donâ€™t have any suitable pictures of this one â€“ the only pictures we have show it surrounded by security fencing. The nearest road is 6m from the site."
"UKA00169","GB0014R","GB0014R","High Muffles","Background Rural","Yorkshire & Humberside","1987-07-16","2014-04-03","54.334944","-0.808550","493918.85","477569.02","267","Acid Gas and Aerosol Network; Automatic Urban and Rural Network (AURN); National Ammonia Monitoring Network; PAH Digitel (solid phase); Tomps; UKEAP - Rural NO2 (NO2-Net); Weekly rainfall (LOW)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self-contained, air-conditioned housing located in a clearing in a forest plantation approximately 100 metres from the nearest habitation. The nearest road is a minor rural road approximately 200 metres from the station.  The surrounding area is open and remote."
"UKA00566","GB1017A","","Honiton","Background Urban","South West","2012-06-21","","50.792287","-3.196702","99874.03","315748.63","122","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located on a small recreation ground in a residential area in the south west of the town. Site is approximately 1km south of the A30 bypass and 1.5 km southwest of the A35."
"UKA00511","GB0916A","","Horley","Industrial Suburban","South East","2007-11-21","","51.165865","-0.167734","142330.91","528206.03","40","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained, air conditioned unit in a residential area approximately 1.5 kilometres from the runway at Gatwick. The nearest main road, the A23 Airport Way is over 100 metres from the station, the M23 is approximately 2.5 kilometers east. The surrounding area is open with residential dwellings. "
"UKA00450","GB0776A","","Hull Freetown","Background Urban","Kingston upon Hull","2002-11-06","2019-09-12","53.748780","-0.341222","429322.05","509481.95","4","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self-contained, air conditioning housing located on the northern edge of a car park which is situated on the northern edge of the city centre. The nearest road is approximately 3 metres from the station, this is a access road. The A165 is approximately 45 metres south of the monitoring station. Immediately to the east and west are landscaped areas of shrubs and saplings. To the north is a cul-de-sac with office buildings."
"UKA00600","GB1042A","","Hull Holderness Road","Traffic Urban","Kingston upon Hull","2015-01-01","2017-01-26","53.758971","-0.305749","430510.95","511793.90","4","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of A165 - Holderness Road, in the eastern part of Hull city. The surrounding area comprises residential houses and small shops, in an urban environment. A63 major road lies at approximately 1.3 km to the south."
"UKA00647","GB1089A","","Immingham Woodlands Avenue","Background Urban","Yorkshire & Humberside","2017-11-01","","53.619241","-0.213324","415116.00","518277.00","3","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","An urban background monitoring station at the junction of Woodlands Avenue and Oaklands Road, in a residential area of Immingham, Humberside. The nearest road, Woodlands Avenue(Residential) is 8.5m from the site."
"UKA00434","GB0742A","","Inverness","Traffic Urban","Highland","2001-07-11","2018-07-23","57.481308","-4.241451","845668.85","265708.85","1","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained, air conditioned housing adjacent to a pathway connecting Telford Street (A862) and Cameron Square Inverness.The surrounding area is predominantly residential with a retail business park 250 metres away."
"UKA00171","GB0037R","GB0037R","Ladybower","Background Rural","East Midlands","1988-07-15","2016-01-11","53.403370","-1.752006","389645.10","416585.32","420","Acid Gas and Aerosol Network; Automatic Urban and Rural Network (AURN); National Ammonia Monitoring Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self-contained, air conditioned housing located in the Peak District National Park approximately 800 metres to the south west of Ladybower reservoir. The nearest road is for access to the nearby farm buildings only, and is approximately 20 metres from the station. The surrounding area is mainly open moor land with the nearest trees occurring within a distance of several hundred metres. "
"UKA00265","GB0643A","","Leamington Spa","Background Urban","West Midlands","1996-07-26","2019-06-10","52.288810","-1.533119","265733.01","431942.76","55","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air conditioned housing located at the rear of a three-storey Regency terrace near the town centre. The nearest road is used for access to the office and public buildings car park located nearby. The nearest urban road is approximately 50 metres from the station and is generally free flowing. There are no trees within 50 metres distance from the monitoring station. The surrounding area is generally built up with commercial and residential properties. "
"UKA00564","GB1018A","","Leamington Spa Rugby Road","Traffic Urban","West Midlands","2012-06-01","2019-06-07","52.294884","-1.542911","266404.37","431270.59","66","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located on the roadside of the busy A445 road to Warwick, in a residential part of Leamington Spa. The station is surrounded by trees."
"UKA00222","GB0584A","","Leeds Centre","Background Urban","West Yorkshire Urban Area","1993-01-04","2008-12-02","53.803780","-1.546472","434259.97","429966.54","78","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Carbon monoxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure","The monitoring station is located within a self-contained, air-conditioned housing located approximately 30 metres from a busy 4-lane inner-city road, the A660 which is subject to periodic congestion during peak periods. The location is approximately 150 metres from an urban motorway, the A58(M). The surrounding area is generally open and comprises a busy urban setting road network."
"UKA00527","GB0926A","","Leeds Headingley Kerbside","Traffic Urban","West Yorkshire Urban Area","2008-02-17","2009-04-06","53.819972","-1.576361","436049.33","427987.34","85","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure","The monitoring Station is located within a self contained, air conditioned housing on the east side of the A660 Headingley Lane. The surrounding area contains residential dwellings and commercial premises.  "
"UKA00609","GB1051A","","Leicester A594 Roadside","Traffic Urban","Leicester Urban Area","2015-06-01","2018-09-03","52.638677","-1.124228","304907.70","459361.09","59","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside the A594, part of Leicesterâ€™s busy ring road, to the north of the city centre."
"UKA00573","GB1026A","","Leicester University","Background Urban","Leicester Urban Area","2013-10-01","2020-01-09","52.619823","-1.127311","302807.95","459177.85","83","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within an existing brick building located within the grounds of Leicester University Campus. The nearest road is Welford road, 20m to the west. The surrounding area is mainly open and comprises a park, a university building, a cemetery and a parking lot, all within a 40 meter radius."
"UKA00489","GB0861A","","Leominster","Background Suburban","West Midlands","2005-07-18","2012-08-07","52.221740","-2.736665","258426.11","349773.58","75","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained, air conditioned housing within the school grounds of Minster College on the southern edge of the town. The nearest road is approximately 40 metres from the station, and is a quiet access road. The immediate area is open with the wider environment consisting of residential dwellings.  "
"UKA00486","GB0881A","GB0052R","Lerwick","Background Rural","Highland","1990-01-16","","60.139220","-1.185319","1139689.93","445350.77","80","Automatic Urban and Rural Network (AURN); Ozone-UV","Ozone; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Monitoring site in the instrument compound of the Met Office observatory near Lerwick."
"UKA00561","GB1014A","","Lincoln Canwick Road","Traffic Urban","East Midlands","2011-07-27","","53.221373","-0.534189","370371.61","497964.44","7","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring staton is located within a self contained housing within the groungs of a building supplies retailer. The station is approximately  2 metres for the A15 Canwick Road, a three lane road. The surrounding area comprises of open parkland to the NE, residential housing to the SW and light industry to the north."
"UKA00247","GB0777A","","Liverpool Speke","Industrial Urban","Liverpool Urban Area","1995-11-24","2018-09-18","53.346330","-2.844333","383603.18","343887.26","26","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located in a corner of school grounds in a residential area of Speke. The nearest road is approximately 10 metres from the inlet, and is a quiet residential road. The A561 is approximately 140 metres from the station. The surrounding are comprises of residential properties and light industry to the north. "
"UKA00238","GB0608A","","London Bexley","Background Suburban","Greater London Urban Area","1994-05-01","2014-12-31","51.466030","0.184806","176381.11","551858.96","13","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure","The monitoring station is within a self-contained, air conditioned housing within an urban background setting. The monitoring station is located approximately 40 metres from the nearest road, Whitenhall Lane, which is a residential road. The surrounding area is generally open and comprises residential dwellings and gardens."
"UKA00211","GB0566A","","London Bloomsbury","Background Urban","Greater London Urban Area","1992-01-23","2012-07-16","51.522290","-0.125889","182039.31","530118.96","20","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure","The monitoring station is within a self-contained, air conditioned housing located within the north-east corner of a central London gardens. The gardens are generally laid to grass with many mature trees. All four sides of the gardens are surrounded by a busy 2 lane one-way road system, which is subject to frequent congestion. The nearest road lies at a distance of approximately 25 metres from the station. The area in the in the vicinity of the manifold is surrounded by small buildings (lower than height of manifold)."
"UKA00230","GB0586A","","London Eltham","Background Suburban","Greater London Urban Area","1993-10-08","2007-09-30","51.452580","0.070766","174655.30","543980.53","60","Automatic Hydrocarbon Monitoring Network; Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure","The monitoring station is located within an existing building in the grounds of an environmental education centre. The nearest road, the A210 Bexley Road is approximately 25m to the south of the station. The surroundings consist of a mixture of habitats including trees, areas of grass, ponds, a golf course and housing. The site is part of the London Air Quality Network and is owned and funded by the London Borough of Greenwich."
"UKA00568","GB1024A","","London Haringey Priory Park South","Background Urban","Greater London Urban Area","2012-10-26","","51.584128","-0.125254","188917.08","529986.75","37","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within the grounds of Priory park. The nearest road is approximately 20 meters from the station and is a quiet residential access road. The station is approximately 150 meters south of the A504 Priory Road. The traffic flow on Priory Road is approximately 27,000 vehicles per day. The manifold inlet is approximately 2.5 meters from the ground."
"UKA00472","GB0837A","","London Harlington","Industrial Urban","Greater London Urban Area","2004-01-01","2015-12-31","51.488790","-0.441614","177800.17","508295.20","35","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained air conditioned housing in the grounds of Imperial College Sports Facility in Harlington, 1 kilometre north of the Heathrow Airport perimetre road. The nearest road is a minor road located approximately 10 metres from the station. The M4 motorway is located approximately 800 metres from the station. The surrounding area is comprised of open fields and residential dwellings. "
"UKA00266","GB0642A","","London Hillingdon","Background Urban","Greater London Urban Area","1996-08-02","2007-09-30","51.496330","-0.460861","178610.41","506941.32","34","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located on an open grass area approximately 2.5 metres from the kerb of a residential road. The site is bordered on three sides by residential roads and on the fourth by the busy M4 motorway, which is approximately 30 metres from the station and above the height of the inlet. The general area is open and protected from the M4 by trees."
"UKA00656","GB1098A","","London Honor Oak Park","Background Urban","Greater London Urban Area","2018-11-27","","51.449674","-0.037418","174125.19","536472.86","36","Automatic Urban and Rural Network (AURN); Particulates","PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature",""
